ICAO,Airport,City,Country,Latitude,Longitude,Altitude,DistanceToRef,RWYLenght,PCN,Dornier_228,DCH-8_Q200,ATR42-600,ATR72-600,CRJ200
EBBR,Brussels Airport,Brussels,Belgium,50.9014015198,4.48443984985,184.0,1480.6,3638.0,80.0,0,1,0,1,1
EBCI,Brussels South Charleroi Airport,Charleroi,Belgium,50.459202000000005,4.45382,614.0,1444.6,2550.0,64.0,0,1,0,1,1
EDDB,Berlin-Schönefeld Airport,Berlin,Germany,52.380001,13.5225,157.0,2077.9,3000.0,140.0,0,1,0,0,1
EDDK,Cologne Bonn Airport,Cologne,Germany,50.865898132299996,7.1427397728,302.0,1617.8,3815.0,75.0,0,1,0,0,1
EDDL,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.766780000000002,147.0,1627.3,3000.0,100.0,0,1,0,0,1
EDDM,Munich Airport,Munich,Germany,48.353802,11.7861,1487.0,1771.4,4000.0,90.0,0,1,0,0,1
EDDN,Nuremberg Airport,Nuernberg,Germany,49.498699,11.078056,1046.0,1775.0,2700.0,65.0,0,1,0,0,1
EDDP,Leipzig/Halle Airport,Leipzig,Germany,51.423889,12.236389,465.0,1948.1,3600.0,80.0,0,1,0,0,1
EDDS,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775,1276.0,1613.6,3345.0,80.0,0,1,0,0,1
EDDT,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,122.0,2074.3,3023.0,120.0,0,1,0,0,1
EDDV,Hannover Airport,Hannover,Germany,52.461101532,9.68507957458,183.0,1865.6,3800.0,68.0,0,1,0,0,1
EDDW,Bremen Airport,Bremen,Germany,53.0475006104,8.78666973114,14.0,1859.6,2040.0,80.0,0,1,0,0,1
EDFH,Frankfurt-Hahn Airport,Hahn,Germany,49.9487,7.263889999999999,1649.0,1563.6,3800.0,72.0,0,1,0,0,1
EDLW,Dortmund Airport,Dortmund,Germany,51.5182991028,7.61223983765,425.0,1688.8,2000.0,49.0,0,1,0,0,1
EHAM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,-11.0,1607.7,3800.0,95.0,0,1,0,0,1
EHEH,Eindhoven Airport,Eindhoven,Netherlands,51.4500999451,5.374529838559999,74.0,1567.7,3000.0,60.0,0,1,0,0,1
EHRD,Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722,-15.0,1563.6,2200.0,70.0,0,1,0,0,1
EKCH,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.617900848389,12.656000137328999,17.0,2236.2,3600.0,80.0,0,0,0,0,1
ELLX,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233333,6.204444400000002,1234.0,1480.6,4000.0,65.0,0,1,0,1,1
ENBR,Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125,170.0,2356.7,2990.0,70.0,0,0,0,0,1
EPGD,Gdańsk Lech Wałęsa Airport,Gdansk,Poland,54.377601623535206,18.466199874877894,489.0,2473.0,2800.0,50.0,0,0,0,0,1
EPKK,Kraków John Paul II International Airport,Krakow,Poland,50.077702,19.7848,791.0,2384.5,2550.0,52.0,0,0,0,0,1
EPKT,Katowice International Airport,Katowice,Poland,50.4743,19.08,995.0,2348.4,2799.0,50.0,0,0,0,0,1
ESGG,Gothenburg-Landvetter Airport,Gothenborg,Sweden,57.662799835205,12.279800415039,506.0,2370.0,3299.0,90.0,0,0,0,0,1
GCFV,Fuerteventura Airport,Fuerteventura,Spain,28.452699661254897,-13.863800048828098,85.0,1466.7,2400.0,67.0,0,1,0,1,1
GCLP,Gran Canaria Airport,Gran Canaria,Spain,27.9319000244141,-15.386599540710401,78.0,1576.5,3100.0,65.0,0,1,0,0,1
GCRR,Lanzarote Airport,Arrecife,Spain,28.945498999999998,-13.6052,46.0,1406.7,2400.0,50.0,0,1,0,1,1
GCTS,Tenerife South Airport,Tenerife,Spain,28.044500351,-16.5725002289,209.0,1615.5,3200.0,79.0,0,1,0,0,1
GCXO,Tenerife Norte Airport,Tenerife,Spain,28.4827003479,-16.341499328599998,2076.0,1562.0,3400.0,60.0,0,1,0,0,1
GEML,Melilla Airport,Melilla,Spain,35.279800415,-2.9562599659,156.0,743.4,1428.0,25.0,1,1,1,1,0
LEAL,Alicante International Airport,Alicante,Spain,38.282199859619105,-0.5581560134887701,142.0,686.1,3000.0,64.0,1,1,1,1,1
LEAM,Almería International Airport,Almeria,Spain,36.843898773193395,-2.3701000213623,70.0,644.4,3200.0,100.0,1,1,1,1,1
LEAS,Asturias Airport,Aviles,Spain,43.5635986328125,-6.034619808197019,416.0,350.5,2200.0,110.0,1,1,1,1,1
LEBB,Bilbao Airport,Bilbao,Spain,43.30110168457029,-2.91060996055603,138.0,501.7,2600.0,60.0,1,1,1,1,1
LEBL,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,12.0,840.4,3552.0,86.0,1,1,1,1,1
LECO,A Coruña Airport,La Coruna,Spain,43.302101,-8.37726,326.0,289.0,1940.0,45.0,1,1,1,1,1
LEGE,Girona Airport,Gerona,Spain,41.901000976999995,2.7605500221,468.0,900.6,2400.0,79.0,1,1,1,1,1
LEGR,Federico Garcia Lorca Airport,Granada,Spain,37.18870162963871,-3.77735996246338,1860.0,530.1,2900.0,67.0,1,1,1,1,1
LEIB,Ibiza Airport,Ibiza,Spain,38.8728981018,1.3731199502899998,24.0,819.0,2800.0,65.0,1,1,1,1,1
LEJR,Jerez Airport,Jerez,Spain,36.744598388671896,-6.0601100921630895,93.0,469.6,2300.0,66.0,1,1,1,1,1
LELC,San Javier Airport,Murcia,Spain,37.7750015258789,-0.8123890161514279,11.0,692.8,2300.0,45.0,1,1,1,1,1
LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264,1998.0,367.2,4100.0,91.0,1,1,1,1,1
LEMG,Málaga Airport,Malaga,Spain,36.674900054931605,-4.49911022186279,53.0,537.6,3200.0,60.0,1,1,1,1,1
LEMH,Menorca Airport,Menorca,Spain,39.8625984191895,4.21864986419678,302.0,1033.1,2350.0,69.0,1,1,1,1,1
LEMO,Moron Air Base,Sevilla,Spain,37.174900054931605,-5.61594009399414,285.0,440.6,3597.0,54.0,1,1,1,1,1
LERS,Reus Air Base,Reus,Spain,41.1473999023437,1.16717004776001,233.0,763.8,2455.0,39.0,1,1,1,1,1
LESO,San Sebastian Airport,San Sebastian,Spain,43.3564987182617,-1.7906099557876598,16.0,583.2,1754.0,56.0,1,1,1,1,0
LEST,Santiago de Compostela Airport,Santiago,Spain,42.8963012695313,-8.41514015197754,1213.0,245.0,3170.0,107.0,1,1,1,1,1
LEVC,Valencia Airport,Valencia,Spain,39.4893,-0.481625,240.0,646.1,2700.0,70.0,1,1,1,1,1
