ICAO,Airport,City,Country,Latitude,Longitude,Altitude,DistanceToRef,RWYLenght,PCN,Dornier_228
GEML,Melilla Airport,Melilla,Spain,35.279800415,-2.9562599659,156.0,743.4,1428.0,25.0,1
LEAL,Alicante International Airport,Alicante,Spain,38.282199859619105,-0.5581560134887701,142.0,686.1,3000.0,64.0,1
LEAM,Almería International Airport,Almeria,Spain,36.843898773193395,-2.3701000213623,70.0,644.4,3200.0,100.0,1
LEAS,Asturias Airport,Aviles,Spain,43.5635986328125,-6.034619808197019,416.0,350.5,2200.0,110.0,1
LEBB,Bilbao Airport,Bilbao,Spain,43.30110168457029,-2.91060996055603,138.0,501.7,2600.0,60.0,1
LEBL,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,12.0,840.4,3552.0,86.0,1
LECO,A Coruña Airport,La Coruna,Spain,43.302101,-8.37726,326.0,289.0,1940.0,45.0,1
LEGE,Girona Airport,Gerona,Spain,41.901000976999995,2.7605500221,468.0,900.6,2400.0,79.0,1
LEGR,Federico Garcia Lorca Airport,Granada,Spain,37.18870162963871,-3.77735996246338,1860.0,530.1,2900.0,67.0,1
LEIB,Ibiza Airport,Ibiza,Spain,38.8728981018,1.3731199502899998,24.0,819.0,2800.0,65.0,1
LEJR,Jerez Airport,Jerez,Spain,36.744598388671896,-6.0601100921630895,93.0,469.6,2300.0,66.0,1
LELC,San Javier Airport,Murcia,Spain,37.7750015258789,-0.8123890161514279,11.0,692.8,2300.0,45.0,1
LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264,1998.0,367.2,4100.0,91.0,1
LEMG,Málaga Airport,Malaga,Spain,36.674900054931605,-4.49911022186279,53.0,537.6,3200.0,60.0,1
LEMH,Menorca Airport,Menorca,Spain,39.8625984191895,4.21864986419678,302.0,1033.1,2350.0,69.0,1
LEMO,Moron Air Base,Sevilla,Spain,37.174900054931605,-5.61594009399414,285.0,440.6,3597.0,54.0,1
LERS,Reus Air Base,Reus,Spain,41.1473999023437,1.16717004776001,233.0,763.8,2455.0,39.0,1
LESO,San Sebastian Airport,San Sebastian,Spain,43.3564987182617,-1.7906099557876598,16.0,583.2,1754.0,56.0,1
LEST,Santiago de Compostela Airport,Santiago,Spain,42.8963012695313,-8.41514015197754,1213.0,245.0,3170.0,107.0,1
LEVC,Valencia Airport,Valencia,Spain,39.4893,-0.481625,240.0,646.1,2700.0,70.0,1
LEVX,Vigo Airport,Vigo,Spain,42.2318000793457,-8.62677001953125,856.0,178.3,2400.0,74.0,1
LEXJ,Santander Airport,Santander,Spain,43.4271011352539,-3.82000994682312,16.0,450.9,2320.0,58.0,1
LEZG,Zaragoza Air Base,Zaragoza,Spain,41.6661987304687,-1.04155004024506,863.0,583.7,3032.0,108.0,1
LFBD,Bordeaux-Mérignac Airport,Bordeaux,France,44.8283004761,-0.7155560255050001,162.0,742.7,3100.0,70.0,1
LFBO,Toulouse-Blagnac Airport,Toulouse,France,43.629101,1.36382,499.0,829.1,3500.0,85.0,1
LFRS,Nantes Atlantique Airport,Nantes,France,47.153198242200006,-1.61073005199,90.0,873.5,2900.0,49.0,1
LPBJ,Beja Airport / Airbase,Beja (madeira),Portugal,38.078899,-7.9324,636.0,293.9,3450.0,45.0,1
LPBR,Braga Municipal Aerodrome,Braga,Portugal,41.5871009827,-8.44513988495,247.0,106.5,839.0,6.4,1
LPCS,Cascais Airport,Cascais,Portugal,38.724998,-9.35523,325.0,255.2,1540.0,42.0,1
LPEV,Évora Airport,Evora,Portugal,38.533501,-7.889639999999999,807.0,243.4,1260.0,9.0,1
LPFR,Faro Airport,Faro,Portugal,37.014400482199996,-7.965909957889999,24.0,412.0,860.0,37.0,1
LPPM,Portimão Airport,Portimao,Portugal,37.1493,-8.583960000000001,5.0,401.6,860.0,37.0,1
LPPR,Francisco de Sá Carneiro Airport,Porto,Portugal,41.248100280799996,-8.68138980865,228.0,88.4,3480.0,80.0,1
LPPT,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,38.7813,-9.13592,374.0,240.9,3705.0,80.0,1
LPVR,Vila Real Airport,Vila Real,Portugal,41.2743,-7.72047,1805.0,62.6,946.0,26.0,1
LPVZ,Aerodromo Goncalves Lobato (Viseu Airport),Viseu,Portugal,40.725497999999995,-7.88899,2060.0,0.0,1160.0,6.4,1
LEPA,Palma De Mallorca Airport,Palma de Mallorca,Spain,39.551700591999996,2.73881006241,27.0,914.5,3000.0,96.0,1
LPCB,Aerodromo de Castelo Branco,Castelo Branco,Portugal,39.847021999999996,-7.441110000000001,1300.0,104.7,1460.0,18.4,1
LPSO,Ponte de Sor Airport,Ponte de Sôr,Portugal,39.211559,-8.056542,0.0,168.7,1800.0,57.0,1
